올빼미&amp;gt;&amp;gt;&amp;gt;&amp;gt;바타2,10
졸린것도 못 참았고...소변도 못 참았음.,7
정성화 나문희가 살렸다 뮤지컬적인 요소가 이질감이 들줄 알았는데 의미없는 유머코드가 감정선을 계속 끊어버린다 안타깝다..뮤지컬로 다시 보고싶다 ,8
그저께 한번 보고 유튜브로 공부 약간 하고 어제 한번 더 봤습니다. 몰랐던 부분이 보이더군요. 이제 완벽하게 한번 더 공부하고 보려구요. 안중근과 옥중에 대화 나누었던 일본인이 실제 인물이라서 놀랐어요. 두번봐도 슬프고 이입되는 영화입니다. ,10
아바타가 재밌는 건 시나리오가 좋은 것에서 시작한다,8
전개가 일단 매우 느리고 결말은 이것도 저것도 아닌꼴이었음...영상미는 좋으나 음식으로 따지면 전개는 밍밍한 수프를 먹듯이 노잼이었음 왜이렇게 평점이 높은지 의문,1
시간이 아깝지 않은 영화,7
최고의 영화. 안중근 의사님 감사합니다 ㅠㅠ,10
장엄한 서사를 다 다루지 못하고 있다는 비평도 있지만 그럼에도 불구하고 최고인 영화. 대한의 독립을 위해 애쓰신 수많은 영웅들께 감사한 마음. 대한의 후손은 결코 잊어서는 안되는 일. ,10
너무 길어서 보다 잠.지루함,1
